Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
STEBBINS ENGINEERING & MF,4,,,PLANET TOOL,60156,,,766261020,170956,,,764522030,95601.3,
SHARP REFRACTORIES,4,,,MGM INDUSTRIAL SUPPLY CO,59808,,,768550000,168251.42,,,727000042,95588.35,
SCOTT- GLENN CO.LLC,4,,,SPECIAL METALS INC.,58133.4,,,733505200,168144.5,,,766081010,94971.84,
PRAIRIE STAINED GLASS,4,,,PALL CORPORATION-H2,58116.6,,,777692562,167520,,,779989700,94957.4,
KIRK & BLUM,4,,,GLENRO INC,56943.2,,,734751200,167194.58,,,766001510,93461.84,
PARAGON PACIFIC INSULATIO,4,,,FRENOSA SOCIEDAD ANONIMA,56025,,,740283502,165882.86,,,734651200,92860.14,
NORTHWEST INSULATION,4,,,PARAGON PACIFIC SPI,56000,,,764906000,164191,,,779958169,92207.82,
PALL CORPORATION-H2,4,,,FIRELINE 520,55452,,,720290010,163675.5,,,727063005,89993.25,
NS INDUSTRIES INC.,4,,,"FYFE CP., LLC",55185.6,,,766126012,163472,,,739681100,89499.7,
MIDSTATE INDUSTRIAL,4,,,TBN ASSOCIATES INC.,54780,,,734900000,160119.57,,,770830000,89034.45,
PPG INDUSTRIES INC.,4,,,ALCOA,54365.72,,,732821100,158941.44,,,742541500,88770.78,
PAGLES INTERNATIONAL INC.,4,,,CAL-CHEM CO.,53081.6,,,733510000,158671.14,,,768241800,88371.45,
NOVELIS OSWEGO,4,,,MAC ARTHUR COMPANY,51840,,,724007000,158505.09,,,770200000,88146.75,
FLANDERS ELECTRIC,4,,,INSULATION CONTRACTORS,51507.2,,,715000500,158226.88,,,764906000,88012.98,
IDC CORPORATION,4,,,KNOWLTON TECHNOLOGIES,50111,,,734361300,155161.05,,,733510000,87144.87,
GARLOCK OF CANADA LTD.,4,,,GARLOCK SEALING TECH,48422.85,,,764522030,154531.8,,,764821029,87117.09,
JOY MARK,4,,,UNIFRAX S.R.O.,48051.89,,,779601000,154503.67,,,764864000,85251.84,
HERAEUS-AMERSIL INC.,4,,,MAC ARTHUR COMPANY INC.,48000,,,766001510,153960,,,739541100,85211.86,
GEO. V HAMILTON INC,4,,,LYDALL INC TECH PAPERS DI,47235.8,,,779989700,153050.24,,,766594001,84656,
E.I.DUPONT DE NEMOURS&CO,4,,,INTERNATIONAL AGENCIES LT,46944,,,732830000,149046.52,,,733640000,84618.8,
ENERGYSOLUTIONS US,4,,,SAINT-GOBAIN,46447.78,,,777901100,148851.15,,,740063000,83998.2,
FASTENAL COMPANY,4,,,INTERNATIONAL RE-ENFORCED,45722.88,,,764862000,147301.35,,,764761000,82613.98,
GENERAL GASKET,4,,,S W ANDERSON,45700,,,764345052,146666.5,,,777901100,82538.47,
GLASSTECH INC,4,,,MACER LTDA,45160.23,,,733640000,145765.8,,,764609100,81801.3,
FIRELINE,4,,,BABINGTON TECHNOLOGY LLC,44272.56,,,734851000,145509.65,,,724311200,81552.03,
GENERAL INSULATION CO,4,,,CGR VALLEY PRODUCTS,43767.93,,,770220000,144960.9,,,724071900,80695.59,
HAGEMEYER NORTH AMERICA,4,,,EAST COAST METAL,43019.5,,,726020041,144297.75,,,777904301,80263.57,
KERBER SHEET METAL,4,,,CARDINDAL FG,42676.8,,,733572800,142823.27,,,740285200,79941.2,
GONZALES MFG. CO.,4,,,FELTEX- EASTERN CAPE,42549.21,,,764761000,142766.8,,,754447000,78129.08,
BRAUER SUPPLY COMPANY,4,,,MCT INDUSTRIES - GOV'T,42335.89,,,727000100,142752.96,,,771504000,77649.97,
CARRIER ENTERPRISE NE LLC,4,,,CRC INDUSTRIES,40986,,,777904301,142096.88,,,764787510,77586.29,
CPP GUAYMAS,4,,,BASF CORPORATION,40632.72,,,733403500,141500.1,,,768550000,77228.43,
BLASCH PRECISION PRODUCTS,4,,,PAGLES INTERNATIONAL INC.,40610,,,764521073,140860,,,727000081,77122.53,
"ABP INDUCTION, LLC",4,,,CARDINAL FG,39663.8,,,754895000,140164.7,,,733566200,76785.63,
BLOXR CORPORATION,4,,,SPRINGFIELD INDUSTRIES,39329.4,,,779987651,139447.2,,,733525400,75836.12,
A W CHESTERTON COMPANY,4,,,THERMALTEK INC,38656,,,764601010,139008.8,,,733221400,75815.41,
CLIMATECH,4,,,STRAUCH CHEMICAL DISTRIBU,38575,,,764864000,138489,,,770372000,74202.15,
CYTEC,4,,,UNIFRAX GMBH,37523.26,,,766594010,137206,,,733526410,73613.94,
BUILDING SERVICE IND,4,,,"CPP - CLEVELAND, INC.",37271,,,791104295,136666.97,,,733484900,73579.57,
BP-HUSKY FREFINING LLC,4,,,CPP GUAYMAS,37182.35,,,779956871,135368.2,,,764261110,73408.16,
BABINGTON TECHNOLOGY LLC,4,,,BAKER DISTRIBUTING  CO.,35910.5,,,732771000,134791.1,,,754925000,72690.16,
CERAMSOURECE INC.,4,,,NORTHERN INDIANA PUBLIC S,35765.68,,,768242000,134496.5,,,754525000,72352.27,
ALPHABET ENERGY INC,4,,,MESSIER - BUGATTI,35616,,,754925000,134158.33,,,764345052,71762.94,
AUBURN MANUFACTURING CO.,4,,,UNIFRAX AUSTRALIA PTY LTD,35615.29,,,764521012,134010,,,733511000,71605.49,
BODYCOTE HOT ISOSTATIC,4,,,UNIFRAX FRANCE,35374.3,,,733511000,132316.83,,,720271000,71521.81,
BOEING COMPANY,4,,,"ABP INDUCTION, LLC",35126.13,,,770222000,132158.08,,,742520400,70946.82,
"TECH CASTINGS, INC",3,,,RB LLC,34784,,,754447000,131930.55,,,766261020,70836.9,
THE BERND GROUP INC.,3,,,GRAYBAR ELECTRIC CO,34480,,,734651200,131715.2,,,764762000,70294.15,
TRIUMPH INSULATION,3,,,EBNER FURNACES INC,34306.86,,,764261020,130887.6,,,777585000,69909.85,
SPECIALTY PROD & INSUL.,3,,,TREMCO INC,34000,,,764609100,129913,,,724281200,69880.58,
TRINITY INDUSTRIES INC,3,,,S P I,33726,,,768251220,128644.92,,,732659400,69344.14,
TRACHTE BUILDING SYSTEMS,3,,,WATCO MECHANICAL SERVICES,33455.52,,,768021000,128288.1,,,766211000,69059.59,
WATCO MECHANICAL,3,,,TRIDENT DISTRIBUTION,33040,,,764521061,128252,,,720290010,68835.57,
TRAEGERBROTHERS,3,,,NORTHWEST INSULATION,32831.5,,,740063000,127909.6,,,777642000,67924.2,
THE BELL GROUP,3,,,STATE INSULATION CORP,32690,,,766081010,127873.1,,,733610650,67740.74,
UNITED MECHANICAL & METAL,3,,,GLASSTECH INC,32575.19,,,770240000,127743.01,,,733586400,67342.45,
SILURIA TECHNOLOGY,3,,,SAM DONG GEORGIA INC.,32329,,,770430000,127373.5,,,777922000,66658.15,
SOUNDTECH INC.,3,,,"HONEYWELL FM&T, LLC",32018.32,,,742520400,126946.21,,,779989340,66486.6,
"THE NP GROUP, INC.",3,,,WOLSELEY INDUSTRIAL GROUP,31352.8,,,764821029,121817.1,,,768242701,66209.56,
UTLX MANUFACTURING,3,,,INSUL-FAB,31243,,,720271000,121467.6,,,768021000,65989.42,
SOUTHWEST RESEARCH,3,,,FALEK LATINA C.I.S.A.,30864.96,,,764525000,119811,,,770522000,64748.84,
UTLX MANUFACTURING INC.,3,,,SELECT INDUSTRIES CORP,30247.6,,,733221400,119724.92,,,733543500,64604.99,
TEXCO,3,,,W. D. EQUIPMENT CO.,29937.08,,,770260000,119710.6,,,779985557,64595.66,
TRI-CITY INSULATION DIST.,3,,,ATLANTECH,29912.34,,,740285200,119628,,,782070000,64468.34,
WFS LTD.,3,,,VATANA PHAISAL ENGNRG CO.,29376.6,,,770930000,118572.5,,,720474000,63407.55,
SHANNON ENTERPRISES OF WN,3,,,ENGINEERED PRODUCTS CO.,29290,,,777990000,118470,,,764651000,62787.43,
WILT INDUSTRIES INC,3,,,HERCULES INDUSTRIES,29120,,,754525000,117743.12,,,719500000,62682.85,
VEITSCH-RADEX AMERICA INC,3,,,FRAS-LE S/A,29048.24,,,766006116,116046.01,,,792687000,61300.34,
SOUTH JERSEY BOILER,3,,,CECO ABATEMENT,28356.36,,,768022000,115520,,,768242000,60840.13,
TRIDENT DISTRIBUTION,3,,,I.C.M.,28171.2,,,726020039,115191.25,,,791104479,60494.6,
THERMO FISHER SCIENTIFIC,3,,,VAN PACKER COMPANY,27971.4,,,764521030,114990,,,733444200,60490.72,
MARIND INDUSTRIES,3,,,KIRK & BLUM,27833.28,,,764787510,113725.44,,,740025000,60163.33,
RAYTHEON,3,,,ESTERLINE,27646.46,,,732659400,113487.8,,,764521012,60015.19,
MICROWAVE RESEARCH &,3,,,PACOR INC,27418,,,764602500,113360,,,754844006,58763.01,
ONEX INC,3,,,"BENGAL SUPPLY, LLC",27360,,,724281200,113166.3,,,770230000,58732.35,
MESSIER-BUGATTI USA LLC,3,,,ROGERS ENGINEERING,26871,,,740402450,112680.28,,,734414100,58503.77,
OWENS CORNING FIBERGLAS,3,,,CLAYBURN REFRACTORIES LTD,26785.3,,,754695000,112314.5,,,764822110,58378.13,
MATERION ADVANCED MATLS.,3,,,THERMAL STRUCTURES INC.,26365.77,,,764864020,111888,,,722413100,58335.42,
MATERION BREWSTER LLC,3,,,UNIFRAX (SHANGHAI) LTD.,25796.2,,,764261110,111760,,,765662000,58296.26,
MESSIER - BUGATTI,3,,,O G SUPPLY,25704,,,724311200,111111.45,,,766594010,58164.69,
M. LUKAS COMPANY,3,,,GHX,25440.75,,,768250220,109882.5,,,733464600,58163.43,
RB LLC,3,,,CHEF MART RESTAURANT,25440,,,739390000,109747.29,,,733572750,57969.72,
NIPRO GLASS AMERICAS CORP,3,,,N2 AERO,25416,,,770500000,109543.5,,,781670000,57668.81,
NOVENCO CONSULTANTS LTD,3,,,DENTAL CREATIONS LTD,25332,,,755084012,108981.72,,,733671000,57162.64,
MITSUBISHI POWER SYSTEMS,3,,,ALPHA 1,25318,,,764526514,108315.2,,,727063000,56761.27,
POW-R-MATIC INC,3,,,TOLEDO ENGINEERING CO INC,24238.84,,,739541100,108293.13,,,768222522,56406.44,
PENSAR,3,,,R. G. BREWTON INC.,24234,,,739370000,108214.11,,,770392000,56238.92,
"RESCO PRODUCTS, INC.",3,,,BP-HUSKY FREFINING LLC,24219,,,777642000,107675.8,,,768251220,56192.52,
KINGSTON HOSPITAL,3,,,APEX DISTRIBUTING INC,23968,,,781670000,106917.29,,,764602500,56121.19,
R. G. BREWTON INC.,3,,,"THE NP GROUP, INC.",23787.1,,,739457000,106295.04,,,770540000,55405.6,
NORTH ATLANTIC ASSOCIATES,3,,,A.C. MILLER CONCRETE,23782,,,719500000,105450,,,734070500,54974.03,
FOSBEL INC / CETEK LTD.,3,,,ERICO INTERNATIONAL CORP.,23760,,,742541500,104289.27,,,724261400,54520.39,
GUARDIAN FIBERGLASS,3,,,BODYCOTE HOT ISOSTATIC,23539,,,768111120,102718.53,,,727000025,53736.92,
ENERSYS ADVANCED SYSTEMS,3,,,S & S SUPPLIES &,23177.5,,,754305000,101752.39,,,740262000,53680.15,
HAARSLEY INCORPORATED,3,,,BLICKMAN INC.,23069.76,,,733525400,101390.75,,,733571500,53581.68,
HERAEUS,3,,,ALL TEMP INSULATION,23047,,,739761100,100792.71,,,733444300,53533.23,
HAAS GROUP INTERNATIONAL,3,,,VITRO VIDRIO Y CRISTAL,22545.15,,,780645010,100629.6,,,770264000,53457.32,
FRICCION Y TECNOLOGIA,3,,,E I DUPONT DE NEMOURS &,22401.15,,,770200000,98897.4,,,771500000,53199.13,
FELTEX- EASTERN CAPE,3,,,DOOLEY GASKET & SEAL,22359.52,,,739451000,98398.08,,,779956871,52845.51,
ENGINETICS AEROSPACE,3,,,INTERTEK TESTING SERVICES,21648.76,,,768221122,98224,,,764903100,52724.3,
"HAMON DELTAK, INC.",3,,,SMITHS TUBULAR SYSTEMS-,21536.8,,,780770000,97983.66,,,733721000,52467.52,
E&J METAL FABRICATORS INC,3,,,TRIPLEX INC,21286.12,,,779956872,97091.4,,,780770000,52332.11,
E. O. WOOD CO,3,,,NUCOR-YAMATO STEEL CO.,21250,,,754055000,96514.57,,,764864020,52239.84,
FORESTWOOD CO. INC.,3,,,GEMCAST,21000,,,727000080,96217.5,,,733543700,51667.79,
ESTES REFRACTORY SALES &,3,,,WILT INDUSTRIES INC,20568.58,,,733586400,95896.08,,,768022000,51280.59,
INSULCON BENELUX B.V.,3,,,STANDARD STEEL CORP,20299.02,,,792687000,95402.38,,,765661000,51257.65,
"EAGLE ROCK SPECIALTIES,",3,,,M. LUKAS COMPANY,20218.16,,,770264000,95134.5,,,780645010,50946.29,
INTERTEK TESTING SERVICES,3,,,KREISLER INDUSTRIAL CORP,20180,,,780370000,95085.52,,,777990000,50628.4,
INDUSTRIAL VALVES &,3,,,PENN MANUFACTURING,20111,,,724071900,94847.82,,,770510000,50359.6,
HUNTSVILLE RUBBER & GASKE,3,,,UNIFRAX EMISSION CONTROL,20032.3,,,764762000,94782.8,,,727063016,50296.89,
INEX CORPORATION,3,,,SHANNON ENTERPRISES OF WN,19818.6,,,764903100,94403.25,,,724311400,50021.54,
ECONOMY DIE & GASKET,3,,,ASHLAND ADVANCED,19660,,,739452000,94315.87,,,726020046,49728.11,
HARROP INDUSTRIES INC,3,,,ORCON - MEXICO LLC,19484,,,733484900,93908,,,724261200,49270.43,
EVERBURN MANUFACTURING CO,3,,,EASTERN REGIONAL CONTRACT,19364.58,,,733566200,93795.84,,,779988364,49056.56,
GREENBRIER RAIL SERVICES,3,,,WAHL REFRACTORIES,19286.86,,,727063009,93750,,,791106278,48818.88,
CAL-CHEM CO.,3,,,IBC ADVANCED ALLOYS,19170.66,,,770830000,93736.7,,,733403500,48757.9,
DECATUR RUBBER & GASKET,3,,,C M FURNACE INC,18982.64,,,733218000,93093.54,,,766006110,48697.57,
CHRISTY CATALYTICS LLC,3,,,INLINE PRO SERVICES,18727.44,,,764951600,91418.88,,,764602900,48266.84,
APPLIED POWER PRODUCTS,3,,,APPLIED POROUS TECH.,18662.4,,,779985557,91230.72,,,742520110,48240.31,
BRUCE DIAMOND CORP,3,,,HANYAN-HIGGINS CO INC,18166.41,,,733610650,89868.12,,,764521030,48205.31,
APPLIED TECHNICAL SERVICE,3,,,"SPACE EXPLORATION TECH,",18150,,,762104000,88833.72,,,779952186,48189.89,
CBOL CORPORATION,3,,,QUADNA,18095.32,,,768222522,88542.08,,,770220200,47654.55,
AREMCO PRODUCTS INC,3,,,ZIRCAR REFRAC. COMPOSITES,17941.61,,,727063016,88394.84,,,764020110,47535.42,
COLUMBIA HELICOPTER,3,,,C.I. MILPA S.A.,17892,,,733526410,88372.5,,,770740000,47516.94,
ACME INSULATION INC,3,,,AJAX-TOCCO MAGNETHERMIC,17700.27,,,764651000,87479.04,,,730552560,47362.07,
AIR PRODUCTS & CHEMICALS,3,,,VISHAY DALE ELECTRONICS,17464.5,,,764764010,87014.4,,,768221122,47183.1,
ATA,3,,,"IRWIN INTERNATIONAL, INC.",17321,,,768750000,86673.24,,,762104000,47128.17,
BRYAN TOOL & MACHINE,3,,,WEST FRASER MILLS,16911.25,,,771504000,85756.8,,,779989337,47117.08,
AVANTI AEROSPACE &,3,,,"WELCO ELECTRONICS, INC.",16891.54,,,764862500,85693,,,765665100,47073.32,
CARBOLINE COMPANY,3,,,PRAXAIR,16806.47,,,764902051,84972,,,768212000,46887.63,
BASF CORPORATION,3,,,AUBURN LEATHER,16746.4,,,765662000,84904,,,733571000,46857.84,
CERAMIC MAGNETICS,3,,,TRAEGERBROTHERS,16629.92,,,733543500,84780.8,,,726020023,46352.94,
ADVANCED TECH SERVICES,3,,,LANE REFRACTORIES,16607.92,,,766261000,83570,,,739370000,46190.4,
ALPHA 1,3,,,HAWAII BIOCHAR PILOR LLC,16345.06,,,779988828,83540.54,,,764526514,46148.05,
BLASCH PRECISION CERAMICS,3,,,STRIPE WORKS,16243.44,,,779957821,83174.4,,,754305000,45938.61,
COORSTEK,3,,,GARLOCK OF CANADA LTD.,15923.9,,,734070500,82831.5,,,754267000,45778.7,
3M COMPANY,3,,,GREAT LAKES PUMP & SEAL,15907.65,,,733218300,81717.49,,,764951600,45541.64,
AMERICAN MECHANICAL,3,,,CREST ULTRASONICS,15859.2,,,770372000,81518.5,,,739561000,45447.28,
BRANHAM CORP.,3,,,SCHULZ XTRUDED PRODUCTS,15769.8,,,766006110,81367,,,739761100,45200.47,
C M FURNACE INC,3,,,C & E RECLAMATION INC.,15699.82,,,777905414,81298.96,,,764301000,44878.75,
"THE N.P. GROUP, INC.",2,,,SCOTT- GLENN CO.LLC,15615.04,,,779989337,80878.08,,,779952188,44836.72,
SAES SMART MATERIALS,2,,,AREMCO PRODUCTS INC,15438.25,,,764301000,80837.85,,,764902051,44703.84,
WIREROPE WORKS INC.,2,,,NORTH SHORE INTERNATIONAL,15375,,,765665100,79582,,,768250220,44697.04,
THERMAL TECHNOLOGY INC,2,,,PRESCOTECH INDUSTRIES INC,15213.6,,,764261100,79452.8,,,770380000,44627.92,
TRANSCO,2,,,TRANSCO,14983.08,,,764822110,79032,,,770600000,44626.89,
SUPERIOR SEALS & SERVICES,2,,,HAARSLEY INCORPORATED,14929.34,,,754267000,79002.18,,,718507000,44440.27,
SANDIA NATIONAL LAB,2,,,"VAN HORN, METZ & CO",14601.05,,,764602900,78836.54,,,754847000,44260.13,
UNIFRAX EMISSION CONTROL,2,,,THE CLAREMONT SALES CORP.,14329.28,,,733444200,78761.8,,,764802000,44178.34,
SCHULZ XTRUDED PRODUCTS,2,,,ST. GEORGE STEEL,13960,,,733464600,78643.2,,,764862500,44106.5,
SELAS HEAT TECHNOLOGY CO.,2,,,AMES TRUE TEMPER,13655.68,,,791104479,78642,,,739451000,43721.29,
V-J ELECTRONIC ASSEMBLIES,2,,,DELAWARE CITY REFINING CO,13627.5,,,779956285,77422.5,,,780370000,43697.35,
SCHWEITZER-MAUDUIT INT'L,2,,,TRULITE GLASS & ALUMINUM,13438.4,,,754926000,77388.24,,,770810000,43290.03,
TREMCO INC,2,,,LOW COUNTRY INSULATION,13340,,,727000025,76399.58,,,733725500,43143.06,
UNIFRAX S.R.O.,2,,,RONSCO INC.,13135.25,,,726020046,76380.24,,,724281400,42827.99,
WEST FRASER MILLS,2,,,XPEDX,13134,,,720474000,76366.25,,,766006116,42738.95,
UNILUX ADVANCED,2,,,MATERION ADVANCED MATLS.,13064.24,,,764605012,76356,,,764785121,42582.9,
ZIRCAR ZIRCONIA INC.,2,,,BRADCO SUPPLY INC.,13050,,,727063000,76277.52,,,734000000,42547.1,
UNIMIN CORP.,2,,,MCALLISTER MILLS INC.,12604.8,,,733721000,75222.6,,,770512000,42348.43,
"WOODSAGE INDUSTRIES, LLC",2,,,TIGHITCO LATINOAMERICA,12585.1,,,734414100,75140.43,,,779952102,42331.62,
UNION TANK CAR,2,,,ROGERS CORP,12582,,,779952188,74654.4,,,740402450,42316.75,
UNICIRCUIT INC.,2,,,HIBBING INTERNATIONAL,12398.4,,,779959409,74593.75,,,733182200,42207.39,
THERMOMETRICS CORPORATION,2,,,SOLCOAT,12388.5,,,777692662,74214,,,733586625,42203.51,
SEMICONDUCTOR PACKAGING,2,,,AUSCO PRODUCTS INC.,12323.2,,,768221110,73853.24,,,737902100,42196.95,
UNIVERSAL REFRACTORIES,2,,,METAULLIC SYSTEMS DIV.,12314.95,,,777902600,73329.62,,,739390000,42053.21,
SOLBERG MFG,2,,,J. T. THORPE,12312,,,724261400,73309.4,,,764525000,41416.65,
UNIVERSITY OF ALABAMA,2,,,FLIGHT ENVIRONMENTS,12293,,,779988364,72974.05,,,739541000,41144.26,
SOUND TECHNOLOGIES,2,,,THORPE TECHNOLOGIES INC.,12242.06,,,777585000,72564.33,,,777901000,41019.15,
THERMTREND INC.,2,,,SNS CORPORATION,12180,,,754884006,72111.6,,,739452000,40626.46,
WATCO MECHANICAL SERVICES,2,,,SANDERS SUPPLY,12000,,,764785121,71760,,,761924000,40371.54,
US JOINER LLC,2,,,JONESBORO WINAIR CO #247,11936,,,779952165,71359.56,,,726020042,40277.7,
SPECIALTY PRODUCTS INSUL.,2,,,"SGL CARBON,LLC",11870.4,,,740262000,71046.8,,,768122000,40230.89,
ST. GEORGE STEEL,2,,,BLOXR CORPORATION,11728,,,764901012,70625,,,777902600,40165.02,
ROGERS ENGINEERING,2,,,CENTURY ALUMINUM OF,11650.32,,,765661000,70244.7,,,779958162,40124.35,
SWEP NORTH AMERICA,2,,,E.I.DUPONT DE NEMOURS&CO,11639.15,,,738401000,69939.72,,,737311000,39973.61,
WHITCRAFT LLC,2,,,GUARDIAN FIBERGLASS,11623.68,,,770522000,69599.4,,,726020039,39863.73,
VA MEDICAL CENTER,2,,,NORTH AMERICAN HOGANAS,11484,,,768212000,69129.4,,,732664000,39519.17,
SUNSHINE GLASS WORKS,2,,,KEYSTONE TOOL & DIE,11452.5,,,739451010,69108.06,,,754055000,39485.68,
S P I,2,,,BASIC RUBBER & PLASTIC,11410.36,,,770220200,69066,,,764821027,39402.26,
THERMAL STRUCTURES INC.,2,,,HERAEUS CO,11362,,,764342000,68767.1,,,734121000,39177.46,
"VAN HORN, METZ & CO",2,,,S & P INSULATION,11200,,,733543700,68504,,,768750000,38893.43,
RONSCO INC.,2,,,GREENBRIER RAIL SERVICES,11198.4,,,770230000,68239.5,,,779952165,38659.75,
STATE OF DELAWARE,2,,,NOVELIS OSWEGO,11188.68,,,733671000,68217.38,,,779956872,38435.3,
TRULITE GLASS & ALUMINUM,2,,,CROWN ENGINEERING CORP,11160,,,738361000,68159.21,,,754924010,38395.47,
SHARP TOOL,2,,,MARK STEEL,11025,,,768251300,68155,,,764605001,38383.43,
TINKER OMEGA,2,,,LUCIFER FURNACES INC,10866.24,,,733444300,67900.8,,,742451500,38304.62,
TEXCAST INC,2,,,FIRST STATE MANUFACTURING,10850,,,737311000,67708.94,,,733141200,37944.09,
MAC ARTHUR CO,2,,,POWER PROCESS EQUIPMENT,10791.86,,,764262000,67647.2,,,768111120,37732.05,
QUADNA - PHOENIX,2,,,"RESCO PRODUCTS, INC.",10617.25,,,768222512,67490,,,768142000,37713.39,
KYOCERA INDUSTRIAL,2,,,CERAMIC MAGNETICS,10611.04,,,764821400,67442.4,,,779988828,37137.71,
MERAK NORTH AMERICA,2,,,DAVIS SALES AGENCY,10529.92,,,779952102,67190.4,,,770942000,37112.33,
PARAMOUNT DIE CORPORATION,2,,,UNIMIN CORP.,10200.18,,,739561000,66625.09,,,766261000,36936.06,
METALLIZED CARBON,2,,,INDUSTRIAL VALVES &,10200,,,764802000,66450,,,764262000,36778.93,
PLANET TOOL,2,,,TRISTATE INDUSTRIAL,10168.56,,,779988176,66368,,,770800000,36372.34,
MICROCHIP TECHNOLOGY INC.,2,,,BLASCH PRECISION CERAMICS,10127,,,766564001,66128,,,764605012,35784.48,
PRECISION ART GLASS,2,,,"AMSTED RAIL COMPANY, INC.",10090.8,,,725482900,65910,,,733383000,35763.92,
MICROFLEX INC,2,,,FORESTWOOD CO. INC.,9832.48,,,754847000,65818.8,,,754695000,35736.58,
RED SEAL ELECTRIC,2,,,LVR INC.,9827.38,,,768112030,65195.56,,,739541200,35412.58,
LEWIS-GOETZ & CO.,2,,,PACOR INC.,9805,,,733725500,65014.4,,,725482900,35292.22,
PENN MANUFACTURING,2,,,BRC RAILCAR SERVICE,9691.68,,,768142000,64583.8,,,742451300,35117.74,
LIBERTY REFRACTORY,2,,,OMNIA SALES,9609.6,,,722413100,64573.16,,,764901012,34876.48,
PILKINGTON N. A. INC.,2,,,STARBUCKS COFFEE COMPANY,9538,,,724311400,64029.7,,,779959407,34377.27,
MID-TEX DISTRIBUTING INC,2,,,SHARP REFRACTORIES,9522.5,,,791106278,63673.29,,,741001000,34264.97,
MAC ARTHUR COMPANY,2,,,COORSTEK,9405.02,,,770392000,63067.4,,,764821400,33997.72,
LILJA CORP,2,,,NORANDAL,9330.75,,,742520110,62798.5,,,764952010,33562.11,
PPG INDUSTRIES,2,,,SOUND TECHNOLOGIES,9324,,,754844005,62762.7,,,781610000,33535.04,
MINTEQ INTERNATIONAL INC.,2,,,WATCO MECHANICAL,9310.14,,,724261200,61319.6,,,730710500,33445.09,
MALYN INDUSTRIAL CERAMICS,2,,,THERMAL SOLUTIONS PRODUCT,9204,,,779988827,61233.33,,,764342000,33416.83,
MODINE MFG CO,2,,,MAGNAFLEX INDUSTRIES INC.,9200,,,764462510,61018.8,,,726020056,33384.97,
RACING INDUSTRIES,2,,,PPG INDUSTRIES INC.,9117.4,,,754045000,60855.13,,,733484800,33296.32,
LOCKHEED MARTIN,2,,,GALA INDUSTRIES INC.,9072,,,764821027,60640,,,737251000,32932.87,
MCALLISTER MILLS INC.,2,,,BARON BLAKESLEE SFC,9061.92,,,770540000,60548.34,,,764764010,32928.22,
MUNNELL & SHERRILL. INC,2,,,NOVENCO CONSULTANTS LTD,8981.01,,,754087000,60163.36,,,754907000,32881.83,
PEACHTREE DISTRIBUTING,2,,,GENERAL GASKET,8939.25,,,733182200,60089.4,,,754477000,32880.25,
NEW ARTS FOUNDRY,2,,,HERAEUS-AMERSIL INC.,8880.72,,,768222530,59909.41,,,733572800,32619.34,
PENNINGTON FURNACE SUPPLY,2,,,ESTES REFRACTORY SALES &,8862,,,726020056,59598,,,739457000,32346.17,
LUFKIN RUBBER & GASKET,2,,,SPECIALTY PRODUCTS INSUL.,8820,,,771500000,58855.51,,,754087000,31934.32,
"PERFORMANCE PLASTICS,INC.",2,,,"JM SUPPLY, INC.",8736,,,754924010,58761.36,,,779988846,31782.34,
LUVATA WATERBURY INC.,2,,,INSULFAB PLASTICS INC,8712,,,779958166,58110,,,764824010,31716.07,
PIONEER GASKET,2,,,SHOFU INC.,8700,,,764605001,57456,,,724101400,31637.89,
NTK AVIATION AMERICA INC.,2,,,ASHEVILLE RUBBER & GASKET,8591.28,,,779988846,57160.87,,,779988827,31599.46,
PLASMA POWER,2,,,EXPRESS INTEGRATED TECH.,8511.68,,,724281400,57025.2,,,768242510,31572.49,
OECO MILWAUKIE,2,,,E&J METAL FABRICATORS INC,8196.04,,,734162000,56741.47,,,740142000,31497.58,
MAC ARTHUR COMPANY INC.,2,,,RACING INDUSTRIES,8125,,,764264050,56396,,,770722000,31441.3,
OHMITE MFG,2,,,BLUE STREAK FAB &,8013.46,,,768242510,55796,,,779958876,31212.76,
MAGELLAN AEROSPACE,2,,,J T THORPE & SON INC,7993.65,,,764951800,55489.12,,,777905414,31137.31,
OWENS BROCKWAY,2,,,RHI AG,7965.72,,,770510000,55479.5,,,770450000,30960.86,
MAGNAFLEX INDUSTRIES INC.,2,,,CASCADE DESIGNS,7882,,,730552560,55479,,,715001000,30788.91,
OWENS CORNING,2,,,METSO PAPER USA INC.,7786,,,737902100,55439.09,,,779988108,30723,
PRESCOTECH INDUSTRIES INC,2,,,GOODMAN INDUSTRIAL,7735.5,,,777699062,55212.48,,,779521000,30637.32,
M & L MECHANICAL,2,,,I SQUARED R ELEMENT CO.,7706.2,,,718507000,55064.88,,,781650000,30607.26,
MATERION ADVANCED MATLS,2,,,UNION TANK CAR,7703.19,,,768122000,54518.6,,,755084012,30561.91,
KINGSBURY INC.,2,,,AMERICAN NATIONAL CARBIDE,7695.36,,,766122500,54051.84,,,768144200,30533.16,
R E UPTEGRAFF MFG COMPANY,2,,,CONSUTECH SYSTEMS LLC,7665,,,739541000,54027.28,,,779956285,30268.47,
MCT INDUSTRIES - GOV'T,2,,,ENSER CORPORATION,7632.5,,,779952185,53820,,,735602115,30236.49,
